hnr_vvesc,hnr_mtar,hnr_b
0,2.598524490445545,0.06,0.1
1,2.545741651468298,0.12,0.1
2,2.5855196967389293,0.35,0.1
3,2.5007804652266152,0.6,0.1
4,2.4590113593488496,1.0,0.1
5,2.333106554494306,2.99,0.1
6,2.2550868984401027,6.98,0.1
7,2.207458665943808,11.88,0.1
8,2.1971993903959635,19.95,0.1
9,2.2840229069263653,0.06,0.2
10,2.2659898216366168,0.12,0.2
11,2.3442479974215513,0.35,0.2
12,2.263125302224518,0.6,0.2
13,2.2027706875337043,1.0,0.2
14,2.095586686188829,2.99,0.2
15,2.0488824544193154,6.98,0.2
16,2.0238312579012256,11.88,0.2
17,1.986681385017457,19.95,0.2
18,1.8886836540311525,0.06,0.3
19,1.8556871378834847,0.12,0.3
20,1.8193190299877962,0.35,0.3
21,1.8094199910386957,0.6,0.3
22,1.7936847027060163,1.0,0.3
23,1.7528364964821914,2.99,0.3
24,1.7275106347486198,6.98,0.3
25,1.7076634444426932,11.88,0.3
26,1.7189621703943385,19.95,0.3
27,1.6083826229402935,0.06,0.4
28,1.5759353080518035,0.12,0.4
29,1.5793515020180797,0.35,0.4
30,1.5393573058090395,0.6,0.4
31,1.5320494904316049,1.0,0.4
32,1.5243363700110997,2.99,0.4
33,1.5026600441940374,6.98,0.4
34,1.505228517146411,11.88,0.4
35,1.4863536724431046,19.95,0.4
36,1.47086291912012,0.06,0.5
37,1.4164767650477454,0.12,0.5
38,1.3999627331472402,0.35,0.5
39,1.377319694671246,0.6,0.5
40,1.4000630671948915,1.0,0.5
41,1.3890402424953217,2.99,0.5
42,1.3907831649912696,6.98,0.5
43,1.3968544074834586,11.88,0.5
44,1.3962361663186014,19.95,0.5
